color,shape,height,width,label
3,0,12,17,peanut
0,1,16,16,nopeanut
0,1,13,16,nopeanut
1,0,16,21,peanut
0,1,15,17,nopeanut
0,1,14,16,nopeanut
0,1,15,17,nopeanut
3,2,7,15,nopeanut
3,2,7,15,nopeanut
0,1,16,17,nopeanut
0,1,16,18,nopeanut
3,0,16,18,peanut
2,2,7,15,nopeanut
2,2,7,15,nopeanut
3,0,19,22,peanut
0,1,16,16,nopeanut
2,1,16,18,nopeanut
3,2,7,15,nopeanut
0,1,16,18,nopeanut
3,0,10,17,peanut
3,0,13,19,peanut
1,0,11,19,peanut
3,0,7,16,peanut
3,2,7,16,nopeanut
3,2,6,15,nopeanut
0,1,15,15,nopeanut
2,1,17,19,nopeanut
0,1,15,16,nopeanut
2,1,14,14,nopeanut
0,1,13,14,nopeanut
0,1,13,14,nopeanut
0,1,13,14,nopeanut
1,0,13,18,peanut
3,0,13,14,peanut
3,0,10,19,peanut
3,2,6,14,nopeanut
0,1,17,13,nopeanut
3,2,5,17,nopeanut
0,1,17,17,nopeanut
0,1,13,16,nopeanut
0,1,15,17,nopeanut
2,1,21,21,nopeanut
2,1,20,20,nopeanut
2,1,19,20,nopeanut
2,1,18,22,nopeanut
3,2,9,15,nopeanut
3,2,8,15,nopeanut
3,0,15,20,peanut
1,0,14,20,peanut
3,0,15,19,peanut
1,0,15,20,peanut
1,0,14,18,peanut
3,0,15,18,peanut
3,2,8,16,nopeanut
3,0,12,18,peanut
0,1,16,17,nopeanut
2,1,18,20,nopeanut
3,0,18,18,peanut
2,1,15,15,nopeanut
3,2,5,15,nopeanut
0,1,16,16,nopeanut
1,0,15,20,peanut
3,0,15,17,peanut
3,2,6,15,nopeanut
3,0,14,17,peanut
2,0,15,20,nopeanut
3,0,15,17,peanut
1,0,15,19,peanut
3,2,7,15,nopeanut
0,1,14,14,nopeanut
2,1,16,16,nopeanut
2,0,18,20,nopeanut
3,0,15,19,peanut
3,0,15,18,peanut
3,0,15,16,peanut
3,0,14,15,peanut
1,0,17,19,peanut
3,1,18,17,peanut
2,1,17,21,peanut
3,0,11,16,peanut
0,1,20,16,nopeanut
3,2,6,15,nopeanut
3,0,18,18,peanut
1,0,15,19,nopeanut
3,2,8,13,nopeanut
3,0,12,20,peanut
3,2,7,15,nopeanut
0,1,15,15,nopeanut
3,0,13,20,peanut
0,1,15,16,nopeanut
3,0,14,17,peanut
3,0,13,16,peanut
0,1,14,14,nopeanut
3,2,8,15,nopeanut
1,0,10,16,peanut
2,1,16,15,nopeanut
1,0,16,19,peanut
2,1,20,21,nopeanut
3,2,7,14,nopeanut
3,0,14,18,peanut
